sms;label;split
"MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night
";0;test
"FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free
";1;test
"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?
";0;test
"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
";0;test
"You have been specially selected to receive a ""3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo
";1;test
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.
";0;test
"Night night, see you tomorrow
";0;test
"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE
";1;dev
"I wanted to wish you a Happy New Year and I wanted to talk to you about some legal advice to do with when Gary and I split but in person. I'll make a trip to Ptbo for that. I hope everything is good with you babe and I love ya :)
";0;test
"Yup song bro. No creative. Neva test quality. He said check review online.
";0;test
"Good morning. At the repair shop--the ONLY reason i'm up at this hour.
";0;test
"I'm home. Ard wat time will u reach?
";0;test
"Oh did you charge camera
";0;test
"Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.
";0;test
"On the road so cant txt
";0;test
"GOD ASKED, ""What is forgiveness?"" A little child gave lovely reply, ""It is d wonderful fruit that a tree gives when it is being hurt by a stone.. Good night......
";0;test
"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.
";0;test
"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon
";0;test
"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs
";0;test
"You are a very very very very bad girl. Or lady.
";0;test
"""Pete can you please ring meive hardly gotany credit""
";0;test
"Ugh I don't wanna get out of bed. It's so warm.
";0;test
